Distance_(mm),Gray_Value
0.000,45.928
1.024,45.560
2.049,45.320
3.073,44.344
4.098,43.906
5.122,43.517
6.146,43.425
7.171,44.262
8.195,45.024
9.219,46.407
10.244,47.599
11.268,49.878
12.293,50.852
13.317,51.765
14.341,52.024
15.366,51.783
16.390,50.905
17.414,50.376
18.439,49.729
19.463,50.531
20.488,50.747
21.512,53.284
22.536,54.900
23.561,58.596
24.585,61.029
25.609,62.588
26.634,63.573
27.658,62.492
28.683,60.442
29.707,58.658
30.731,54.303
31.756,53.799
32.780,52.098
33.804,58.232
34.829,58.232
35.853,74.086
36.878,78.463
37.902,93.974
38.926,99.808
39.951,109.457
40.975,114.121
42.000,112.830
43.024,111.139
44.048,106.127
45.073,94.721
46.097,90.032
47.121,77.434
48.146,77.522
49.170,70.799
50.195,96.976
51.219,113.614
52.243,150.852
53.268,171.673
54.292,186.952
55.316,196.057
56.341,198.848
57.365,199.786
58.390,199.831
59.414,199.576
60.438,198.124
61.463,197.178
62.487,191.271
63.511,191.074
64.536,175.211
65.560,137.552
66.585,111.843
67.609,80.297
68.633,83.388
69.658,76.430
70.682,85.065
71.706,89.220
72.731,101.704
73.755,109.293
74.780,114.656
75.804,118.955
76.828,119.949
77.853,112.278
78.877,109.287
79.901,93.867
80.926,89.824
81.950,71.980
82.975,70.670
83.999,59.596
85.023,59.891
86.048,59.223
87.072,62.336
88.097,64.223
89.121,69.192
90.145,72.080
91.170,72.751
92.194,72.719
93.218,71.869
94.243,69.477
95.267,67.517
96.292,64.287
97.316,62.759
98.340,61.092
99.365,60.712
100.389,61.054
101.413,62.222
102.438,62.653
103.462,63.097
104.487,63.121
105.511,63.063
106.535,62.668
107.560,62.158
108.584,61.216
109.608,60.769
110.633,60.348
111.657,60.222
112.682,60.060
113.706,59.852
114.730,59.917
115.755,59.725
116.779,59.567
117.803,59.179
118.828,58.685
119.852,58.042
120.877,57.293
121.901,56.766
122.925,55.934
123.950,55.489
124.974,54.864
