 ,Label,Angle,Length
1,,-2.291,105.150
2,,-0.651,105.673
3,,-1.637,105.109
4,,-0.971,106.282
5,,-0.326,105.668
6,Mean,-1.175,105.576
7,SD,0.790,0.479
8,Min,-2.291,105.109
9,Max,-0.326,106.282
