Distance_(mm),Gray_Value
0.00000,14.344
0.00476,14.321
0.00952,14.700
0.01428,14.610
0.01905,14.919
0.02381,14.880
0.02857,15.108
0.03333,15.032
0.03809,15.113
0.04285,15.050
0.04762,15.110
0.05238,14.998
0.05714,14.952
0.06190,14.875
0.06666,14.945
0.07142,14.759
0.07618,14.841
0.08095,14.825
0.08571,14.949
0.09047,14.979
0.09523,15.471
0.09999,15.633
0.10475,16.284
0.10952,16.937
0.11428,18.473
0.11904,19.349
0.12380,20.307
0.12856,20.875
0.13332,21.653
0.13808,21.706
0.14285,21.406
0.14761,20.701
0.15237,19.893
0.15713,18.888
0.16189,18.234
0.16665,17.448
0.17142,16.996
0.17618,16.635
0.18094,16.507
0.18570,16.511
0.19046,17.438
0.19522,17.993
0.19998,20.878
0.20475,22.399
0.20951,27.026
0.21427,28.861
0.21903,35.314
0.22379,37.065
0.22855,42.958
0.23332,44.984
0.23808,48.414
0.24284,49.763
0.24760,51.002
0.25236,51.296
0.25712,50.976
0.26188,50.157
0.26665,48.948
0.27141,46.860
0.27617,44.979
0.28093,43.018
0.28569,41.418
0.29045,40.702
0.29522,41.388
0.29998,42.038
0.30474,46.209
0.30950,47.775
0.31426,54.570
0.31902,57.035
0.32378,67.293
0.32855,68.915
0.33331,77.880
0.33807,79.120
0.34283,86.776
0.34759,87.889
0.35235,92.779
0.35712,94.110
0.36188,95.384
0.36664,96.142
0.37140,95.572
0.37616,94.027
0.38092,92.547
0.38568,89.166
0.39045,88.234
0.39521,84.288
0.39997,82.913
0.40473,80.372
0.40949,79.152
0.41425,78.222
0.41902,78.158
0.42378,78.293
0.42854,79.985
0.43330,80.725
0.43806,86.099
0.44282,87.359
0.44758,92.968
0.45235,94.929
0.45711,99.309
0.46187,100.960
0.46663,103.020
0.47139,104.277
0.47615,103.894
0.48092,100.848
0.48568,98.631
0.49044,91.288
0.49520,90.288
0.49996,80.939
0.50472,79.507
0.50949,70.712
0.51425,68.772
0.51901,62.941
0.52377,62.099
0.52853,61.056
0.53329,62.392
0.53805,62.795
0.54282,69.707
0.54758,72.123
0.55234,82.062
0.55710,84.513
0.56186,95.805
0.56662,96.901
0.57139,106.892
0.57615,109.002
0.58091,117.262
0.58567,119.275
0.59043,121.929
0.59519,122.996
0.59995,123.015
0.60472,120.768
0.60948,120.082
0.61424,113.105
0.61900,113.153
0.62376,106.985
0.62852,106.556
0.63329,101.110
0.63805,101.136
0.64281,99.636
0.64757,99.943
0.65233,100.087
0.65709,102.647
0.66185,102.679
0.66662,107.796
0.67138,108.267
0.67614,113.521
0.68090,114.545
0.68566,120.038
0.69042,121.092
0.69519,123.570
0.69995,125.608
0.70471,124.181
0.70947,123.249
0.71423,121.264
0.71899,113.562
0.72375,114.143
0.72852,101.651
0.73328,102.608
0.73804,90.740
0.74280,90.319
0.74756,79.712
0.75232,78.039
0.75709,71.567
0.76185,70.412
0.76661,67.842
0.77137,68.056
0.77613,67.673
0.78089,69.020
0.78565,69.876
0.79042,73.475
0.79518,74.566
0.79994,77.918
0.80470,78.806
0.80946,80.574
0.81422,81.139
0.81899,81.881
0.82375,81.631
0.82851,80.770
0.83327,78.096
0.83803,76.162
0.84279,71.934
0.84755,69.542
0.85232,64.062
0.85708,61.211
0.86184,56.005
0.86660,53.103
0.87136,50.489
0.87612,49.037
0.88089,48.264
0.88565,48.335
0.89041,48.673
0.89517,49.516
0.89993,50.530
0.90469,52.269
0.90945,53.449
0.91422,55.362
0.91898,56.101
0.92374,56.647
0.92850,56.799
0.93326,56.619
0.93802,56.030
0.94279,55.027
0.94755,53.783
0.95231,52.187
0.95707,50.666
0.96183,49.084
0.96659,47.630
0.97135,46.149
0.97612,45.218
0.98088,44.299
0.98564,43.768
0.99040,43.548
0.99516,43.593
0.99992,44.101
1.00469,44.592
1.00945,45.049
1.01421,45.565
1.01897,45.906
1.02373,46.179
1.02849,46.323
1.03325,46.129
1.03802,45.681
1.04278,45.539
1.04754,44.833
1.05230,44.361
1.05706,43.601
1.06182,43.200
1.06659,42.817
1.07135,42.479
1.07611,42.270
1.08087,42.072
1.08563,42.005
1.09039,42.123
1.09515,42.328
1.09992,42.742
