Distance_(mm),Gray_Value
0.000,41.339
1.024,41.405
2.049,41.511
3.073,41.530
4.098,41.374
5.122,41.384
6.146,41.740
7.171,41.993
8.195,42.458
9.219,42.760
10.244,44.002
11.268,45.284
12.293,46.770
13.317,47.272
14.341,47.696
15.366,47.809
16.390,47.726
17.414,47.028
18.439,45.725
19.463,44.714
20.488,44.125
21.512,43.572
22.536,43.367
23.561,43.772
24.585,45.304
25.609,46.030
26.634,48.279
27.658,50.000
28.683,52.226
29.707,53.719
30.731,54.675
31.756,54.774
32.780,54.475
33.804,53.258
34.829,52.509
35.853,50.711
36.878,49.967
37.902,48.770
38.926,49.105
39.951,49.156
40.975,52.547
42.000,54.168
43.024,59.854
44.048,62.281
45.073,67.418
46.097,69.753
47.121,72.346
48.146,73.491
49.170,73.172
50.195,72.011
51.219,69.867
52.243,65.356
53.268,62.530
54.292,58.998
55.316,57.984
56.341,56.791
57.365,61.568
58.390,62.946
59.414,73.944
60.438,79.179
61.463,93.230
62.487,97.112
63.511,110.209
64.536,115.572
65.560,122.742
66.585,125.965
67.609,128.123
68.633,130.182
69.658,127.035
70.682,123.253
71.706,120.725
72.731,112.268
73.755,109.409
74.780,101.189
75.804,100.060
76.828,95.681
77.853,102.251
78.877,101.625
79.901,116.151
80.926,122.537
81.950,139.454
82.975,149.439
83.999,161.868
85.023,167.747
86.048,171.916
87.072,175.377
88.097,174.875
89.121,174.481
90.145,172.337
91.170,165.974
92.194,157.037
93.218,140.068
94.243,129.442
95.267,109.811
96.292,105.254
97.316,92.635
98.340,93.326
99.365,90.625
100.389,96.146
101.413,98.319
102.438,107.763
103.462,113.130
104.487,119.923
105.511,125.114
106.535,127.718
107.560,130.942
108.584,129.949
109.608,129.209
110.633,126.525
111.657,117.865
112.682,113.832
113.706,101.218
114.730,94.147
115.755,78.639
116.779,72.612
117.803,60.763
118.828,56.209
119.852,52.591
120.877,52.600
121.901,52.502
122.925,54.786
123.950,56.982
124.974,60.039
125.999,61.781
127.023,62.532
128.047,62.196
129.072,60.477
130.096,57.765
131.120,54.182
132.145,50.253
133.169,45.779
134.194,41.651
135.218,37.940
136.242,35.695
137.267,34.098
138.291,33.826
139.315,34.353
140.340,34.923
141.364,35.958
142.389,37.421
143.413,39.005
144.437,39.611
145.462,39.660
146.486,39.391
147.510,38.505
148.535,37.156
149.559,35.221
150.584,33.732
151.608,32.219
152.632,32.307
153.657,32.230
154.681,33.019
155.705,33.842
156.730,34.993
157.754,35.956
158.779,36.704
159.803,36.989
160.827,37.372
161.852,37.247
162.876,37.072
163.900,35.867
164.925,35.051
165.949,33.537
166.974,32.909
167.998,31.816
169.022,31.347
170.047,30.842
171.071,30.849
172.096,30.293
173.120,30.481
174.144,30.558
175.169,31.026
176.193,31.472
177.217,31.707
178.242,31.586
179.266,31.586
180.291,31.218
181.315,30.977
182.339,30.228
183.364,30.068
184.388,29.318
185.412,29.221
186.437,28.481
