Distance_(mm),Gray_Value
0.000000,35.292
0.004762,35.854
0.009523,36.715
0.014285,37.538
0.019046,38.316
0.023808,39.266
0.028569,39.854
0.033331,40.998
0.038092,41.560
0.042854,41.919
0.047615,41.858
0.052377,41.908
0.057139,41.771
0.061900,41.397
0.066662,41.246
0.071423,41.046
0.076185,40.706
0.080946,40.499
0.085708,40.381
0.090469,40.436
0.095231,40.763
0.099992,40.861
0.104754,40.906
0.109515,41.096
0.114277,41.052
0.119039,40.871
0.123800,40.667
0.128562,40.078
0.133323,40.004
0.138085,39.791
0.142846,39.499
0.147608,39.270
0.152369,39.671
0.157131,40.845
0.161892,41.885
0.166654,43.804
0.171416,44.878
0.176177,46.362
0.180939,47.257
0.185700,48.220
0.190462,48.414
0.195223,47.961
0.199985,46.634
0.204746,44.671
0.209508,41.636
0.214269,38.505
0.219031,34.959
0.223792,33.285
0.228554,32.364
0.233316,33.157
0.238077,34.651
0.242839,39.447
0.247600,43.340
0.252362,51.013
0.257123,55.773
0.261885,61.893
0.266646,64.935
0.271408,67.638
0.276169,69.671
0.280931,69.444
0.285693,68.553
0.290454,65.444
0.295216,61.068
0.299977,56.434
0.304739,50.486
0.309500,46.155
0.314262,42.257
0.319023,43.808
0.323785,44.985
0.328546,54.048
0.333308,59.630
0.338069,73.710
0.342831,80.649
0.347593,94.769
0.352354,101.721
0.357116,111.277
0.361877,117.405
0.366639,120.068
0.371400,122.752
0.376162,121.601
0.380923,120.540
0.385685,116.453
0.390446,111.248
0.395208,103.900
0.399970,95.185
0.404731,86.542
0.409493,77.782
0.414254,74.471
0.419016,71.490
0.423777,74.553
0.428539,76.569
0.433300,90.344
0.438062,101.318
0.442823,115.885
0.447585,125.752
0.452346,135.590
0.457108,145.769
0.461870,147.725
0.466631,151.505
0.471393,148.858
0.476154,147.229
0.480916,139.924
0.485677,128.800
0.490439,116.837
0.495200,100.913
0.499962,91.675
0.504723,77.682
0.509485,74.320
0.514247,66.904
0.519008,67.732
0.523770,68.111
0.528531,75.113
0.533293,80.793
0.538054,89.959
0.542816,97.782
0.547577,104.621
0.552339,112.386
0.557100,115.453
0.561862,119.791
0.566624,118.471
0.571385,118.850
0.576147,113.869
0.580908,108.370
0.585670,100.436
0.590431,90.479
0.595193,79.893
0.599954,68.603
0.604716,57.118
0.609477,44.364
0.614239,37.170
0.619000,30.144
0.623762,28.508
0.628524,29.488
0.633285,33.207
0.638047,37.007
0.642808,43.037
0.647570,48.017
0.652331,51.660
0.657093,53.582
0.661854,53.595
0.666616,53.455
0.671377,51.148
0.676139,48.418
0.680901,43.205
0.685662,37.612
0.690424,31.200
0.695185,26.420
0.699947,23.314
0.704708,21.691
0.709470,20.930
0.714231,21.161
0.718993,22.168
0.723754,24.170
0.728516,26.673
0.733277,29.159
0.738039,30.279
0.742801,31.240
0.747562,31.246
0.752324,30.688
0.757085,28.725
0.761847,26.357
0.766608,23.329
0.771370,21.261
0.776131,19.229
0.780893,18.397
0.785654,17.817
0.790416,17.885
0.795178,18.072
0.799939,18.765
0.804701,19.427
0.809462,20.135
0.814224,20.383
0.818985,20.976
0.823747,21.397
0.828508,21.410
0.833270,21.076
0.838031,21.120
0.842793,20.595
0.847554,20.327
0.852316,19.773
0.857078,19.185
0.861839,18.057
0.866601,17.096
0.871362,16.139
0.876124,15.948
0.880885,15.599
0.885647,15.529
0.890408,15.272
0.895170,15.224
0.899931,14.965
0.904693,15.041
0.909455,14.959
0.914216,15.050
0.918978,14.817
0.923739,14.765
0.928501,14.510
