Distance_(mm),Gray_Value
0.000,12.2522
1.024,13.2091
2.049,13.1952
3.073,13.7389
4.098,13.7034
5.122,13.8948
6.146,13.9176
7.171,14.0380
8.195,13.9670
9.219,13.8492
10.244,13.7782
11.268,13.5019
12.293,13.4297
13.317,13.1001
14.341,13.0963
15.366,12.9049
16.390,12.9125
17.414,12.8200
18.439,12.8745
19.463,13.0355
20.488,13.0722
21.512,13.4170
22.536,13.4715
23.561,14.2091
24.585,14.6312
25.609,15.9708
26.634,16.8340
27.658,18.6172
28.683,19.8606
29.707,21.9366
30.731,23.0266
31.756,24.9011
32.780,25.7985
33.804,26.8771
34.829,27.5944
35.853,27.8999
36.878,27.9417
37.902,27.4436
38.926,26.7795
39.951,25.6451
40.975,24.1546
42.000,22.5526
43.024,20.7098
44.048,19.1420
45.073,18.2091
46.097,17.6058
47.121,17.3346
48.146,17.1660
49.170,17.2307
50.195,17.6996
51.219,18.3435
52.243,20.1660
53.268,21.5070
54.292,25.3777
55.316,27.3840
56.341,32.5805
57.365,35.0951
58.390,40.9620
59.414,43.7554
60.438,48.6984
61.463,51.0887
62.487,55.1939
63.511,57.6046
64.536,60.6527
65.560,62.4499
66.585,64.8238
67.609,65.5057
68.633,65.9125
69.658,66.2091
70.682,65.9480
71.706,65.0203
72.731,63.8593
73.755,62.0304
74.780,59.5513
75.804,56.7947
76.828,54.4170
77.853,52.1369
78.877,50.0735
79.901,48.4968
80.926,47.3954
81.950,46.6679
82.975,46.4854
83.999,46.7921
85.023,48.1369
86.048,50.0127
87.072,54.0342
88.097,56.8492
89.121,62.2129
90.145,64.9518
91.170,70.4284
92.194,73.0368
93.218,77.8999
94.243,80.4981
95.267,83.9087
96.292,85.3891
97.316,87.6236
98.340,88.8885
99.365,90.3954
100.389,91.7288
101.413,92.0697
102.438,91.7972
103.462,90.9049
104.487,89.5640
105.511,88.1052
106.535,85.8226
107.560,83.5349
108.584,80.0190
109.608,77.0139
110.633,74.2015
111.657,71.0773
112.682,68.1812
113.706,65.2776
114.730,63.1812
115.755,61.3308
116.779,60.0456
117.803,59.0051
118.828,58.9100
119.852,58.9594
120.877,59.4601
121.901,60.4766
122.925,61.5868
123.950,63.2611
124.974,65.0152
125.999,67.3916
127.023,68.9582
128.047,70.5133
129.072,71.3105
130.096,71.7744
131.120,71.6679
132.145,71.2624
133.169,70.4145
134.194,68.7326
135.218,66.3992
136.242,63.8619
137.267,60.9164
138.291,57.6020
139.315,53.6616
140.340,48.7592
141.364,44.9911
142.389,40.9468
143.413,37.5311
144.437,34.9062
145.462,33.2624
146.486,31.7414
147.510,31.4791
148.535,31.4727
149.559,32.2839
150.584,33.7047
151.608,35.4854
152.632,38.4309
153.657,41.1217
154.681,45.4322
155.705,49.1597
156.730,54.2548
157.754,57.8150
158.779,61.6641
159.803,64.5108
160.827,67.3397
161.852,69.4588
162.876,71.4740
163.900,72.8213
164.925,73.3752
165.949,74.0089
166.974,74.0469
167.998,73.9392
169.022,72.9493
170.047,72.3574
171.071,70.8276
172.096,69.4854
173.120,67.3067
174.144,65.6667
175.169,63.4994
176.193,62.3245
177.217,60.6134
178.242,59.6743
179.266,58.7262
180.291,58.8517
181.315,59.0887
182.339,59.0127
183.364,59.8593
184.388,61.5082
185.412,63.4056
186.437,65.1508
187.461,67.9645
188.486,69.8999
189.510,72.5691
190.534,74.7668
191.559,77.0368
192.583,78.5463
193.607,79.6248
194.632,80.4943
195.656,81.1115
196.681,81.3802
197.705,81.1496
198.729,80.9734
199.754,79.9062
200.778,78.9037
201.802,77.0583
202.827,75.2624
203.851,72.0951
204.876,69.8492
205.900,66.0063
206.924,63.2091
207.949,59.1027
208.973,56.1280
209.997,52.3777
211.022,49.9785
212.046,46.6071
213.071,44.8466
214.095,42.6515
215.119,41.5361
216.144,40.4385
217.168,40.2801
218.193,40.0710
219.217,40.5044
220.241,41.0304
221.266,42.0355
222.290,43.1331
223.314,44.0406
224.339,44.7554
225.363,45.4613
226.388,45.6933
227.412,46.0849
228.436,45.9937
229.461,45.9417
230.485,45.1255
231.509,44.3739
232.534,42.5336
233.558,40.9823
234.583,38.2826
235.607,36.3916
236.631,33.2395
237.656,31.1445
238.680,27.9734
239.704,26.1559
240.729,23.6679
241.753,21.8124
242.778,19.1572
243.802,17.6692
244.826,15.5970
245.851,14.8200
246.875,14.0203
247.899,13.7883
248.924,13.4449
249.948,13.3714
250.973,13.3093
251.997,13.2852
253.021,13.2497
254.046,13.2459
255.070,13.3016
256.095,13.3612
257.119,13.4094
258.143,13.5450
259.168,13.6362
260.192,13.7795
261.216,13.9189
262.241,14.0355
263.265,13.8859
264.290,13.9455
265.314,13.7681
266.338,13.7047
267.363,13.3523
268.387,13.1926
269.411,12.6033
270.436,12.5944
271.460,12.1648
272.485,12.0418
273.509,11.4170
274.533,11.3587
275.558,10.7567
276.582,10.7085
277.606,10.1052
278.631,10.0722
279.655,9.7769
