 ,Label,Angle,Length
1,,-88.649,212.059
2,,-89.735,216.002
3,,-0.538,213.009
4,,-90.570,201.010
5,,-90.000,208.000
6,Mean,-71.898,210.016
7,SD,39.898,5.791
8,Min,-90.570,201.010
9,Max,-0.538,216.002
10,,-1.920,107.528
11,,-1.920,107.528
