Distance_(mm),Gray_Value
0.0000,48.949
1.0244,48.174
2.0488,48.281
3.0731,48.145
4.0975,49.481
5.1219,50.356
6.1463,52.754
7.1706,53.883
8.1950,55.838
9.2194,57.432
10.2438,58.236
11.2682,57.651
12.2925,57.046
13.3169,55.109
14.3413,54.420
15.3657,53.040
16.3900,56.988
17.4144,57.903
18.4388,70.964
19.4632,75.297
20.4876,84.097
21.5119,88.073
22.5363,87.984
23.5607,89.141
24.5851,82.907
25.6095,70.166
26.6338,59.273
27.6582,47.513
28.6826,45.921
29.7070,42.063
30.7313,81.333
31.7557,109.182
32.7801,159.192
33.8045,189.859
34.8289,197.135
35.8532,199.562
36.8776,198.869
37.9020,198.816
38.9264,198.190
39.9507,197.655
40.9751,193.768
41.9995,193.453
43.0239,186.386
44.0483,168.875
45.0726,124.154
46.0970,73.889
47.1214,68.560
48.1458,53.238
49.1701,60.224
50.1945,65.186
51.2189,82.077
52.2433,91.956
53.2677,102.485
54.2920,107.242
55.3164,107.196
56.3408,101.614
57.3652,98.925
58.3895,83.040
59.4139,80.366
60.4383,66.648
61.4627,66.937
62.4871,62.812
63.5114,63.222
64.5358,64.006
65.5602,66.251
66.5846,67.913
67.6090,68.782
68.6333,68.648
69.6577,67.701
70.6821,65.463
71.7065,64.400
72.7308,62.521
73.7552,62.281
74.7796,62.109
75.8040,63.111
76.8284,63.434
77.8527,65.192
78.8771,65.968
79.9015,66.766
