Distance_(mm),Gray_Value
0.000,18.3507
1.024,18.4672
2.049,18.5452
3.073,18.7398
4.098,19.0186
5.122,19.1846
6.146,19.1772
7.171,19.1537
8.195,18.8662
9.219,18.6828
10.244,18.3680
11.268,18.2701
12.293,18.1115
13.317,18.1685
14.341,18.3172
15.366,18.3717
16.390,18.4734
17.414,18.7807
18.439,19.1958
19.463,19.6382
20.488,19.9789
21.512,20.4969
22.536,21.3371
23.561,21.9232
24.585,22.3581
25.609,22.5985
26.634,22.8141
27.658,22.5849
28.683,22.2615
29.707,22.1537
30.731,21.9145
31.756,21.4523
32.780,21.0297
33.804,20.6233
34.829,20.3866
35.853,20.5031
36.878,21.3371
37.902,22.2169
38.926,24.0669
39.951,25.0310
40.975,27.1314
42.000,28.3668
43.024,30.0967
44.048,31.0967
45.073,32.0483
46.097,32.6667
47.121,33.3209
48.146,33.3048
49.170,32.9071
50.195,32.0508
51.219,31.1314
52.243,29.9455
53.268,29.0223
54.292,28.2156
55.316,27.8686
56.341,27.5725
57.365,28.3383
58.390,29.0520
59.414,32.0731
60.438,33.7472
61.463,38.3395
62.487,39.7348
63.511,45.4312
64.536,47.2887
65.560,52.0743
66.585,54.3259
67.609,57.5874
68.633,59.5403
69.658,61.6245
70.682,62.1053
71.706,61.7138
72.731,60.8055
73.755,59.2701
74.780,57.3457
75.804,55.8600
76.828,54.5750
77.853,53.0607
78.877,52.3767
79.901,53.2478
80.926,53.6233
81.950,57.3755
82.975,58.4597
83.999,63.7361
85.023,65.9356
86.048,73.8823
87.072,76.2379
88.097,85.3507
89.121,88.0595
90.145,95.5031
91.170,98.2900
92.194,103.1921
93.218,105.3123
94.243,107.4411
95.267,108.6803
96.292,108.2962
97.316,107.3755
98.340,106.8092
99.365,104.6654
100.389,103.0545
101.413,99.1995
102.438,97.5490
103.462,93.5403
104.487,90.5923
105.511,87.0942
106.535,84.8823
107.560,82.8240
108.584,81.7361
109.608,81.3755
110.633,82.3333
111.657,83.2032
112.682,84.8786
113.706,86.6468
114.730,89.9430
115.755,91.8426
116.779,94.2045
117.803,93.4164
118.828,93.7385
119.852,90.9839
120.877,90.7918
121.901,85.7522
122.925,84.4473
123.950,78.8141
124.974,75.2677
125.999,69.9901
127.023,66.5118
128.047,62.9727
129.072,61.1660
130.096,59.7757
131.120,62.5675
132.145,63.7968
133.169,69.2714
134.194,72.4597
135.218,80.7732
136.242,85.2912
137.267,91.9455
138.291,96.1772
139.315,100.6245
140.340,104.3594
141.364,106.9046
142.389,109.1846
143.413,109.3544
144.437,109.8563
145.462,108.7113
146.486,107.2962
147.510,104.8178
148.535,101.7782
149.559,98.7088
150.584,94.3965
151.608,90.2268
152.632,85.0074
153.657,80.2788
154.681,74.7410
155.705,69.9455
156.730,64.8055
157.754,60.5341
158.779,57.5477
159.803,56.3420
160.827,55.3408
161.852,55.4201
162.876,55.5143
163.900,56.9752
164.925,58.0917
165.949,59.5886
166.974,60.3209
167.998,60.6159
169.022,60.0892
170.047,59.0297
171.071,57.2268
172.096,55.1561
173.120,51.8141
174.144,47.6283
175.169,43.8327
176.193,38.8290
177.217,35.3965
178.242,31.3296
179.266,29.2664
180.291,27.0235
181.315,25.9715
182.339,25.0644
183.364,24.9529
184.388,24.5836
185.412,24.8352
186.437,24.9318
187.461,25.3197
188.486,25.6097
189.510,25.7683
190.534,25.4771
191.559,25.1784
192.583,24.4473
193.607,23.8389
194.632,22.6258
195.656,21.7051
196.681,20.5601
197.705,19.5787
198.729,18.1660
199.754,17.5713
200.778,16.9083
201.802,16.7014
202.827,16.2454
203.851,16.1722
204.876,16.1016
205.900,16.2020
206.924,16.2974
207.949,16.5328
208.973,16.5774
209.997,16.7844
211.022,16.7683
212.046,16.9839
213.071,17.0074
214.095,17.0533
215.119,16.7683
216.144,16.5539
217.168,16.1264
218.193,15.8501
219.217,15.1066
220.241,14.9244
221.266,14.3532
222.290,14.1859
223.314,13.8278
224.339,13.7968
225.363,13.6270
226.388,13.6803
227.412,13.6667
228.436,13.7435
229.461,13.7770
230.485,13.8872
231.509,14.0483
232.534,14.0322
233.558,14.0694
234.583,14.1512
235.607,14.0124
236.631,13.8872
237.656,13.5985
238.680,13.3978
239.704,13.0520
240.729,12.9727
241.753,12.8476
242.778,12.7831
243.802,12.6283
