Distance_(mm),Gray_Value
0.000,12.0285
1.024,12.0260
2.049,12.0682
3.073,12.3147
4.098,12.3507
5.122,12.8129
6.146,12.8897
7.171,13.7670
8.195,14.0545
9.219,15.1499
10.244,15.4919
11.268,16.3011
12.293,16.7001
13.317,17.2627
14.341,17.3730
15.366,17.5105
16.390,17.2639
17.414,16.6530
18.439,16.2342
19.463,15.8191
20.488,15.2590
21.512,14.8203
22.536,14.6419
23.561,14.5254
24.585,14.4833
25.609,14.6208
26.634,14.7200
27.658,15.2565
28.683,15.6072
29.707,17.4362
30.731,18.8290
31.756,23.6902
32.780,25.9343
33.804,31.5242
34.829,34.3209
35.853,39.4040
36.878,41.5774
37.902,45.0359
38.926,47.1623
39.951,49.4957
40.975,50.4064
42.000,50.9765
43.024,51.4449
44.048,51.4077
45.073,50.8922
46.097,49.3519
47.121,47.8922
48.146,45.9888
49.170,44.4176
50.195,43.4672
51.219,43.0359
52.243,43.2255
53.268,44.1747
54.292,47.1239
55.316,48.7200
56.341,54.0136
57.365,56.7869
58.390,64.3123
59.414,66.7571
60.438,74.4771
61.463,76.6208
62.487,84.4857
63.511,85.5279
64.536,90.6679
65.560,92.4399
66.585,95.1983
67.609,96.3507
68.633,97.6617
69.658,98.1413
70.682,97.5514
71.706,96.3494
72.731,94.9975
73.755,91.8996
74.780,91.4981
75.804,86.5601
76.828,85.5774
77.853,80.8959
78.877,80.0830
79.901,77.6716
80.926,77.5266
81.950,76.7732
82.975,76.9281
83.999,77.0037
85.023,78.6493
86.048,79.9009
87.072,83.1586
88.097,84.5576
89.121,87.6791
90.145,88.5725
91.170,89.7881
92.194,90.2107
93.218,89.6592
94.243,88.5279
95.267,86.9195
96.292,83.6047
97.316,81.6035
98.340,75.5415
99.365,73.3408
100.389,67.2367
101.413,64.5180
102.438,57.9542
103.462,55.4027
104.487,49.6419
105.511,47.2367
106.535,44.8959
107.560,44.3271
108.584,44.4820
109.608,47.1314
110.633,49.6877
111.657,55.5638
112.682,59.4597
113.706,67.1648
114.730,70.7757
115.755,78.6295
116.779,81.5167
117.803,87.1152
118.828,89.7819
119.852,93.5366
120.877,95.4362
121.901,97.3569
122.925,98.6915
123.950,99.3110
124.974,99.5353
125.999,99.0545
127.023,97.2937
128.047,95.7410
129.072,92.8600
130.096,91.6865
131.120,88.4845
132.145,87.3544
133.169,84.2404
134.194,83.0496
135.218,81.5427
136.242,81.1177
137.267,81.5353
138.291,82.9504
139.315,83.4151
140.340,85.8253
141.364,86.8761
142.389,89.6196
143.413,91.1586
144.437,93.1214
145.462,93.9356
146.486,94.6357
147.510,95.0359
148.535,94.8575
149.559,93.7063
150.584,92.3903
151.608,90.3209
152.632,88.6221
153.657,85.1004
154.681,82.5750
155.705,78.2404
156.730,74.9641
157.754,70.0112
158.779,65.5836
159.803,60.4672
160.827,56.8625
161.852,52.9777
162.876,50.0743
163.900,48.0545
164.925,46.9071
165.949,46.5229
166.974,46.3209
167.998,46.4176
169.022,47.3482
170.047,48.1190
171.071,49.5118
172.096,50.6283
173.120,51.8364
174.144,52.4102
175.169,52.6258
176.193,52.5254
177.217,51.8872
178.242,50.4820
179.266,48.3147
180.291,46.1995
181.315,43.4139
182.339,39.9108
183.364,36.2838
184.388,33.1586
185.412,29.4114
186.437,26.8067
187.461,24.3556
188.486,22.7385
189.510,21.1760
190.534,20.2924
191.559,19.3755
192.583,19.2032
193.607,19.0954
194.632,19.5254
195.656,20.2429
196.681,21.0136
197.705,22.1053
198.729,23.2949
199.754,24.1611
200.778,24.8463
201.802,25.1103
202.827,25.2615
203.851,25.0198
204.876,24.6952
205.900,23.8017
206.924,22.9430
207.949,21.4858
208.973,20.4089
209.997,18.6704
211.022,17.9950
212.046,16.8067
213.071,16.1561
214.095,15.2974
215.119,14.8240
216.144,14.2181
217.168,14.1202
218.193,13.8178
219.217,13.7646
220.241,13.6976
221.266,13.7770
222.290,13.8253
223.314,14.0558
224.339,14.2999
225.363,14.5651
226.388,14.7423
227.412,14.8538
