date/time: ,14/11/2025,12:00
Run 1

time	(LX)
0,000000	3,610183E+4
0,006667	3,610547E+4
0,013333	3,609092E+4
0,020000	3,610619E+4
0,026667	3,609238E+4
0,033333	3,611565E+4
0,040000	3,608510E+4
0,046667	3,611419E+4
0,053333	3,610110E+4
0,060000	3,611783E+4
0,066667	3,610183E+4
0,073333	3,610038E+4
0,080000	3,611856E+4
0,086667	3,608874E+4
0,093333	3,612583E+4
0,100000	3,609529E+4
0,106667	3,614910E+4
0,113333	3,610038E+4
0,120000	3,611347E+4
0,126667	3,612656E+4
0,133333	3,611056E+4
0,140000	3,612801E+4
0,146667	3,608365E+4
0,153333	3,611419E+4
0,160000	3,609310E+4
0,166667	3,611056E+4
0,173333	3,610329E+4
0,180000	3,610910E+4
0,186667	3,611856E+4
0,193333	3,610183E+4
0,200000	3,610838E+4
0,206667	3,607783E+4
0,213333	3,611419E+4
0,220000	3,607565E+4
0,226667	3,610329E+4
0,233333	3,609020E+4
0,240000	3,610547E+4
0,246667	3,611419E+4
0,253333	3,610401E+4
0,260000	3,612510E+4
0,266667	3,610474E+4
0,273333	3,611928E+4
0,280000	3,608874E+4
0,286667	3,610256E+4
0,293333	3,609020E+4
0,300000	3,610692E+4
0,306667	3,608656E+4
0,313333	3,609310E+4
0,320000	3,609674E+4
0,326667	3,609456E+4
0,333333	3,609310E+4
0,340000	3,608801E+4
0,346667	3,611274E+4
0,353333	3,609965E+4
0,360000	3,610329E+4
0,366667	3,611056E+4
0,373333	3,610619E+4
0,380000	3,612147E+4
0,386667	3,609601E+4
0,393333	3,612510E+4
0,400000	3,610329E+4
0,406667	3,612147E+4
0,413333	3,609819E+4
0,420000	3,610329E+4
0,426667	3,608583E+4
0,433333	3,611201E+4
0,440000	3,610256E+4
0,446667	3,609165E+4
0,453333	3,610838E+4
0,460000	3,608510E+4
0,466667	3,610765E+4
0,473333	3,609529E+4
0,480000	3,611710E+4
0,486667	3,610692E+4
0,493333	3,610256E+4
0,500000	3,610401E+4
0,506667	3,609238E+4
0,513333	3,609747E+4
0,520000	3,608510E+4
0,526667	3,611638E+4
0,533333	3,609529E+4
0,540000	3,611856E+4
0,546667	3,610256E+4
0,553333	3,612365E+4
0,560000	3,610692E+4
0,566667	3,610183E+4
0,573333	3,610183E+4
0,580000	3,609020E+4
0,586667	3,611419E+4
0,593333	3,609020E+4
0,600000	3,611274E+4
0,606667	3,608583E+4
0,613333	3,611347E+4
0,620000	3,610838E+4
0,626667	3,611856E+4
0,633333	3,610765E+4
0,640000	3,609892E+4
0,646667	3,609892E+4
0,653333	3,609092E+4
0,660000	3,610838E+4
0,666667	3,609819E+4
0,673333	3,612365E+4
0,680000	3,609165E+4
0,686667	3,610838E+4
0,693333	3,610038E+4
0,700000	3,610547E+4
0,706667	3,611274E+4
0,713333	3,609456E+4
0,720000	3,610619E+4
0,726667	3,609747E+4
0,733333	3,609383E+4
0,740000	3,612365E+4
0,746667	3,608874E+4
0,753333	3,609965E+4
0,760000	3,608220E+4
0,766667	3,610619E+4
0,773333	3,609892E+4
0,780000	3,610401E+4
0,786667	3,612292E+4
0,793333	3,609965E+4
0,800000	3,610474E+4
0,806667	3,608365E+4
0,813333	3,611274E+4
0,820000	3,608947E+4
0,826667	3,610765E+4
0,833333	3,609892E+4
0,840000	3,609456E+4
0,846667	3,610692E+4
0,853333	3,610110E+4
0,860000	3,610329E+4
0,866667	3,609020E+4
0,873333	3,611710E+4
0,880000	3,610110E+4
0,886667	3,610474E+4
0,893333	3,609310E+4
0,900000	3,609165E+4
0,906667	3,611201E+4
0,913333	3,609674E+4
0,920000	3,609819E+4
0,926667	3,609892E+4
0,933333	3,610910E+4
0,940000	3,609383E+4
0,946667	3,610038E+4
0,953333	3,609674E+4
0,960000	3,607638E+4
0,966667	3,610256E+4
0,973333	3,609238E+4
0,980000	3,610110E+4
0,986667	3,610110E+4
0,993333	3,609819E+4
1,000000	3,611347E+4
1,006667	3,609529E+4
1,013333	3,610983E+4
1,020000	3,608656E+4
1,026667	3,610692E+4
1,033333	3,608001E+4
1,040000	3,610765E+4
1,046667	3,610547E+4
1,053333	3,610183E+4
1,060000	3,610256E+4
1,066667	3,610547E+4
1,073333	3,611783E+4
1,080000	3,608583E+4
1,086667	3,611492E+4
1,093333	3,609092E+4
1,100000	3,610401E+4
1,106667	3,609819E+4
1,113333	3,610329E+4
1,120000	3,611492E+4
1,126667	3,609601E+4
1,133333	3,610619E+4
1,140000	3,609965E+4
1,146667	3,609529E+4
1,153333	3,610547E+4
1,160000	3,610619E+4
1,166667	3,610329E+4
1,173333	3,610401E+4
1,180000	3,611201E+4
1,186667	3,609747E+4
1,193333	3,611492E+4
1,200000	3,611274E+4
1,206667	3,609819E+4
1,213333	3,610910E+4
1,220000	3,610110E+4
1,226667	3,611783E+4
1,233333	3,610619E+4
1,240000	3,609674E+4
1,246667	3,609601E+4
1,253333	3,610474E+4
1,260000	3,610619E+4
1,266667	3,611274E+4
1,273333	3,610838E+4
1,280000	3,611128E+4
1,286667	3,610619E+4
1,293333	3,609310E+4
1,300000	3,611419E+4
1,306667	3,610983E+4
1,313333	3,612365E+4
1,320000	3,610183E+4
1,326667	3,611128E+4
1,333333	3,610692E+4
1,340000	3,610547E+4
1,346667	3,610401E+4
1,353333	3,610910E+4
1,360000	3,610256E+4
1,366667	3,610910E+4
1,373333	3,610765E+4
1,380000	3,612219E+4
1,386667	3,611783E+4
1,393333	3,610765E+4
1,400000	3,611274E+4
1,406667	3,610183E+4
1,413333	3,611565E+4
1,420000	3,610692E+4
1,426667	3,612074E+4
1,433333	3,611274E+4
