date/time: ,14/11/2025,11:45
Run 1

time	(LX)
0,000000	3,212828E+3
0,006667	3,211374E+3
0,013333	3,224464E+3
0,020000	3,210646E+3
0,026667	3,218646E+3
0,033333	3,215737E+3
0,040000	3,214282E+3
0,046667	3,212828E+3
0,053333	3,210646E+3
0,060000	3,215737E+3
0,066667	3,209919E+3
0,073333	3,215010E+3
0,080000	3,214282E+3
0,086667	3,207010E+3
0,093333	3,210646E+3
0,100000	3,220828E+3
0,106667	3,218646E+3
0,113333	3,220828E+3
0,120000	3,217919E+3
0,126667	3,209919E+3
0,133333	3,212828E+3
0,140000	3,219373E+3
0,146667	3,214282E+3
0,153333	3,215010E+3
0,160000	3,220100E+3
0,166667	3,219373E+3
0,173333	3,223009E+3
0,180000	3,219373E+3
0,186667	3,217919E+3
0,193333	3,215010E+3
0,200000	3,221555E+3
0,206667	3,210646E+3
0,213333	3,215010E+3
0,220000	3,211374E+3
0,226667	3,209192E+3
0,233333	3,212101E+3
0,240000	3,209192E+3
0,246667	3,209192E+3
0,253333	3,208465E+3
0,260000	3,202647E+3
0,266667	3,212101E+3
0,273333	3,214282E+3
0,280000	3,205556E+3
0,286667	3,207010E+3
0,293333	3,213555E+3
0,300000	3,214282E+3
0,306667	3,216464E+3
0,313333	3,203374E+3
0,320000	3,206283E+3
0,326667	3,214282E+3
0,333333	3,204828E+3
0,340000	3,201192E+3
0,346667	3,220828E+3
0,353333	3,218646E+3
0,360000	3,204101E+3
0,366667	3,207737E+3
0,373333	3,209192E+3
0,380000	3,211374E+3
0,386667	3,209192E+3
0,393333	3,209192E+3
0,400000	3,206283E+3
0,406667	3,223009E+3
0,413333	3,212828E+3
0,420000	3,214282E+3
0,426667	3,204828E+3
0,433333	3,212828E+3
0,440000	3,204828E+3
0,446667	3,208465E+3
0,453333	3,205556E+3
0,460000	3,196102E+3
0,466667	3,211374E+3
0,473333	3,224464E+3
0,480000	3,217191E+3
0,486667	3,210646E+3
0,493333	3,218646E+3
0,500000	3,215737E+3
0,506667	3,220100E+3
0,513333	3,214282E+3
0,520000	3,215010E+3
0,526667	3,215737E+3
0,533333	3,211374E+3
0,540000	3,208465E+3
0,546667	3,201920E+3
0,553333	3,207737E+3
0,560000	3,222282E+3
0,566667	3,213555E+3
0,573333	3,212101E+3
0,580000	3,204828E+3
0,586667	3,209919E+3
0,593333	3,217191E+3
0,600000	3,205556E+3
0,606667	3,207010E+3
0,613333	3,206283E+3
0,620000	3,209919E+3
0,626667	3,213555E+3
0,633333	3,196829E+3
0,640000	3,217919E+3
0,646667	3,209919E+3
0,653333	3,219373E+3
0,660000	3,217919E+3
0,666667	3,216464E+3
0,673333	3,215010E+3
0,680000	3,217191E+3
0,686667	3,216464E+3
0,693333	3,210646E+3
0,700000	3,199738E+3
0,706667	3,215010E+3
0,713333	3,211374E+3
0,720000	3,207737E+3
0,726667	3,215737E+3
0,733333	3,215737E+3
0,740000	3,201920E+3
0,746667	3,213555E+3
0,753333	3,212101E+3
