date/time: ,14/11/2025,11:32
Run 1

time	(LX)
0,000000	2,101300E+1
0,006667	2,973977E+1
0,013333	2,246746E+1
0,020000	2,101300E+1
0,026667	2,537639E+1
0,033333	2,464916E+1
0,040000	2,537639E+1
0,046667	2,755808E+1
0,053333	2,101300E+1
0,060000	1,592239E+1
0,066667	2,828531E+1
0,073333	2,101300E+1
0,080000	2,610362E+1
0,086667	2,028577E+1
0,093333	2,537639E+1
0,100000	2,610362E+1
0,106667	2,174023E+1
0,113333	2,537639E+1
0,120000	2,028577E+1
0,126667	2,174023E+1
0,133333	1,664962E+1
0,140000	2,392192E+1
0,146667	2,537639E+1
0,153333	2,392192E+1
0,160000	2,537639E+1
0,166667	2,246746E+1
0,173333	2,464916E+1
0,180000	2,755808E+1
0,186667	2,828531E+1
0,193333	2,174023E+1
0,200000	2,392192E+1
0,206667	2,174023E+1
0,213333	2,537639E+1
0,220000	2,246746E+1
0,226667	2,610362E+1
0,233333	2,828531E+1
0,240000	2,828531E+1
0,246667	2,246746E+1
0,253333	2,901254E+1
0,260000	3,046700E+1
0,266667	2,101300E+1
0,273333	2,755808E+1
0,280000	1,955854E+1
0,286667	2,537639E+1
0,293333	2,174023E+1
0,300000	1,664962E+1
0,306667	2,828531E+1
0,313333	2,319469E+1
0,320000	2,683085E+1
0,326667	2,319469E+1
0,333333	2,246746E+1
0,340000	2,392192E+1
0,346667	2,828531E+1
0,353333	2,392192E+1
0,360000	2,392192E+1
0,366667	2,174023E+1
0,373333	2,101300E+1
0,380000	2,755808E+1
0,386667	2,464916E+1
0,393333	2,246746E+1
0,400000	2,246746E+1
0,406667	2,464916E+1
0,413333	2,319469E+1
0,420000	2,755808E+1
0,426667	2,246746E+1
0,433333	2,755808E+1
0,440000	2,973977E+1
0,446667	2,246746E+1
0,453333	2,901254E+1
0,460000	2,537639E+1
0,466667	2,464916E+1
0,473333	2,101300E+1
0,480000	2,028577E+1
0,486667	2,319469E+1
0,493333	2,028577E+1
0,500000	2,610362E+1
0,506667	2,610362E+1
0,513333	2,174023E+1
0,520000	2,537639E+1
0,526667	2,319469E+1
0,533333	2,246746E+1
0,540000	2,828531E+1
0,546667	2,610362E+1
0,553333	2,392192E+1
0,560000	2,246746E+1
0,566667	2,319469E+1
0,573333	2,101300E+1
0,580000	2,319469E+1
0,586667	1,810408E+1
0,593333	2,246746E+1
0,600000	2,028577E+1
0,606667	3,046700E+1
0,613333	2,901254E+1
0,620000	2,246746E+1
0,626667	2,464916E+1
0,633333	2,828531E+1
0,640000	2,537639E+1
0,646667	2,464916E+1
0,653333	2,464916E+1
0,660000	2,392192E+1
0,666667	1,810408E+1
0,673333	2,174023E+1
0,680000	2,246746E+1
0,686667	2,174023E+1
0,693333	2,973977E+1
0,700000	2,319469E+1
0,706667	2,246746E+1
0,713333	2,392192E+1
0,720000	2,392192E+1
0,726667	3,046700E+1
0,733333	2,683085E+1
0,740000	2,464916E+1
0,746667	2,174023E+1
0,753333	2,101300E+1
0,760000	2,174023E+1
0,766667	2,973977E+1
0,773333	2,537639E+1
0,780000	2,174023E+1
0,786667	2,537639E+1
0,793333	2,246746E+1
0,800000	2,683085E+1
0,806667	2,028577E+1
0,813333	2,901254E+1
0,820000	2,464916E+1
0,826667	2,319469E+1
0,833333	2,610362E+1
0,840000	2,392192E+1
0,846667	2,246746E+1
0,853333	2,464916E+1
0,860000	2,028577E+1
0,866667	2,464916E+1
0,873333	2,464916E+1
0,880000	1,955854E+1
0,886667	1,810408E+1
0,893333	1,955854E+1
0,900000	1,955854E+1
0,906667	2,610362E+1
0,913333	2,174023E+1
0,920000	2,028577E+1
0,926667	2,464916E+1
0,933333	3,119423E+1
0,940000	2,464916E+1
0,946667	2,755808E+1
0,953333	2,392192E+1
0,960000	2,101300E+1
0,966667	2,246746E+1
0,973333	2,901254E+1
0,980000	2,174023E+1
0,986667	2,464916E+1
0,993333	1,955854E+1
1,000000	1,810408E+1
1,006667	2,973977E+1
1,013333	2,610362E+1
1,020000	2,319469E+1
1,026667	2,610362E+1
1,033333	2,392192E+1
1,040000	2,755808E+1
1,046667	1,664962E+1
1,053333	2,537639E+1
1,060000	1,883131E+1
1,066667	1,664962E+1
1,073333	2,464916E+1
1,080000	2,028577E+1
1,086667	2,828531E+1
1,093333	2,174023E+1
1,100000	2,464916E+1
1,106667	2,683085E+1
1,113333	1,883131E+1
1,120000	2,028577E+1
1,126667	2,028577E+1
1,133333	2,683085E+1
1,140000	2,246746E+1
1,146667	2,901254E+1
1,153333	2,174023E+1
1,160000	2,101300E+1
1,166667	2,101300E+1
1,173333	1,446793E+1
1,180000	2,901254E+1
1,186667	2,973977E+1
1,193333	2,683085E+1
1,200000	3,264869E+1
1,206667	2,610362E+1
1,213333	2,319469E+1
1,220000	2,392192E+1
1,226667	2,610362E+1
1,233333	2,464916E+1
1,240000	2,537639E+1
1,246667	2,755808E+1
1,253333	2,101300E+1
1,260000	2,246746E+1
1,266667	2,101300E+1
1,273333	2,246746E+1
1,280000	2,464916E+1
1,286667	2,174023E+1
1,293333	2,101300E+1
1,300000	2,392192E+1
1,306667	3,192146E+1
1,313333	1,955854E+1
1,320000	2,174023E+1
1,326667	2,537639E+1
1,333333	2,610362E+1
1,340000	2,028577E+1
1,346667	2,174023E+1
1,353333	2,174023E+1
1,360000	2,246746E+1
1,366667	1,592239E+1
1,373333	2,101300E+1
1,380000	2,610362E+1
1,386667	1,446793E+1
1,393333	2,174023E+1
1,400000	2,755808E+1
1,406667	2,464916E+1
1,413333	2,683085E+1
1,420000	2,901254E+1
1,426667	2,174023E+1
1,433333	2,392192E+1
1,440000	2,537639E+1
1,446667	2,901254E+1
1,453333	2,683085E+1
1,460000	1,810408E+1
1,466667	2,683085E+1
1,473333	2,028577E+1
1,480000	2,537639E+1
1,486667	2,246746E+1
1,493333	2,973977E+1
1,500000	2,683085E+1
1,506667	2,683085E+1
1,513333	2,246746E+1
1,520000	2,537639E+1
1,526667	2,392192E+1
1,533333	2,246746E+1
1,540000	2,246746E+1
1,546667	2,174023E+1
1,553333	2,101300E+1
1,560000	2,464916E+1
1,566667	2,683085E+1
1,573333	3,119423E+1
1,580000	2,246746E+1
1,586667	2,464916E+1
1,593333	2,610362E+1
1,600000	2,246746E+1
1,606667	1,810408E+1
1,613333	2,319469E+1
1,620000	2,537639E+1
1,626667	2,028577E+1
1,633333	2,464916E+1
1,640000	2,174023E+1
1,646667	1,664962E+1
1,653333	2,683085E+1
1,660000	2,319469E+1
1,666667	2,319469E+1
1,673333	3,046700E+1
1,680000	2,028577E+1
1,686667	2,101300E+1
1,693333	2,392192E+1
1,700000	2,392192E+1
1,706667	2,319469E+1
1,713333	2,319469E+1
1,720000	1,664962E+1
1,726667	2,392192E+1
1,733333	3,046700E+1
1,740000	2,755808E+1
1,746667	2,392192E+1
1,753333	2,610362E+1
1,760000	2,319469E+1
1,766667	2,392192E+1
1,773333	2,610362E+1
1,780000	1,883131E+1
1,786667	2,464916E+1
1,793333	2,101300E+1
1,800000	2,319469E+1
1,806667	2,464916E+1
1,813333	1,955854E+1
1,820000	2,464916E+1
1,826667	2,319469E+1
1,833333	2,174023E+1
1,840000	2,610362E+1
1,846667	2,464916E+1
1,853333	2,901254E+1
1,860000	2,319469E+1
1,866667	2,246746E+1
1,873333	2,610362E+1
1,880000	2,464916E+1
