frecuencia GF (Hz),frecuencia Osciloscopio (Hz),Vpp Gf(V),Vpp osciloscopiob (V),frecuencia teorica (Hz),modo,peso_porta peso(gr),escala Vpp(V),escala_tiempo(ms),HILO TRANSPARENTE
2587.0,2596.0,10,104,2587.0,1.0,7043,5,10,
5174.0,5176.0,,,5174.0,2.0,,,,
7861.0,7861.0,,,7761.0,3.0,,,,
10447.0,1046.0,,,10347.0,4.0,,,,
13034.0,1302.0,,,12934.0,5.0,,,,
