frecuencia GF (Hz),frecuencia Osciloscopio (Hz),Vpp Gf(V),Vpp osciloscopiob (V),frecuencia teorica (Hz),modo,peso_porta peso(gr),escala Vpp(V),escala_tiempo(ms),HILO TRANSPARENTE
2811.0,2815.0,10,104,2711.0,1.0,8044,5,10,
5522.0,5518.0,,,5422.0,2.0,,,,
8433.0,8445.0,,,8133.0,3.0,,,,
11145.0,1116.0,,,10845.0,4.0,,,,
13856.0,1388.0,,,13556.0,5.0,,,,
