date/time: ,14/11/2025,12:56
Run 1

time	(LX)
0,000000	8,433616E+3
0,006667	8,432162E+3
0,013333	8,424162E+3
0,020000	8,419799E+3
0,026667	8,419799E+3
0,033333	8,412527E+3
0,040000	8,408890E+3
0,046667	8,403800E+3
0,053333	8,416890E+3
0,060000	8,424162E+3
0,066667	8,419799E+3
0,073333	8,427071E+3
0,080000	8,433616E+3
0,086667	8,411799E+3
0,093333	8,414708E+3
0,100000	8,414708E+3
0,106667	8,406709E+3
0,113333	8,418344E+3
0,120000	8,408890E+3
0,126667	8,424890E+3
0,133333	8,424162E+3
0,140000	8,430707E+3
0,146667	8,437980E+3
0,153333	8,423435E+3
0,160000	8,417617E+3
0,166667	8,412527E+3
0,173333	8,414708E+3
0,180000	8,413981E+3
0,186667	8,400164E+3
0,193333	8,413981E+3
0,200000	8,418344E+3
0,206667	8,415436E+3
0,213333	8,434344E+3
0,220000	8,424162E+3
0,226667	8,424890E+3
0,233333	8,413981E+3
0,240000	8,416890E+3
0,246667	8,410345E+3
0,253333	8,406709E+3
0,260000	8,410345E+3
0,266667	8,415436E+3
0,273333	8,423435E+3
0,280000	8,426344E+3
0,286667	8,426344E+3
0,293333	8,415436E+3
0,300000	8,427798E+3
0,306667	8,427071E+3
0,313333	8,399436E+3
0,320000	8,403800E+3
0,326667	8,408890E+3
0,333333	8,408890E+3
0,340000	8,409618E+3
0,346667	8,412527E+3
0,353333	8,424890E+3
0,360000	8,436525E+3
0,366667	8,424162E+3
0,373333	8,423435E+3
0,380000	8,419072E+3
0,386667	8,418344E+3
0,393333	8,421981E+3
0,400000	8,405254E+3
0,406667	8,403800E+3
0,413333	8,412527E+3
0,420000	8,424890E+3
0,426667	8,429253E+3
0,433333	8,429253E+3
0,440000	8,429980E+3
0,446667	8,418344E+3
0,453333	8,427071E+3
0,460000	8,403800E+3
0,466667	8,405982E+3
0,473333	8,411799E+3
0,480000	8,415436E+3
0,486667	8,411799E+3
0,493333	8,415436E+3
0,500000	8,420526E+3
0,506667	8,424162E+3
0,513333	8,429253E+3
0,520000	8,427798E+3
0,526667	8,421253E+3
0,533333	8,418344E+3
0,540000	8,403800E+3
0,546667	8,410345E+3
0,553333	8,411072E+3
0,560000	8,410345E+3
0,566667	8,422708E+3
0,573333	8,429980E+3
0,580000	8,437252E+3
0,586667	8,423435E+3
0,593333	8,429253E+3
0,600000	8,422708E+3
0,606667	8,419799E+3
0,613333	8,408890E+3
0,620000	8,414708E+3
0,626667	8,418344E+3
0,633333	8,415436E+3
0,640000	8,428526E+3
0,646667	8,429980E+3
0,653333	8,423435E+3
0,660000	8,424890E+3
0,666667	8,433616E+3
0,673333	8,416890E+3
0,680000	8,409618E+3
0,686667	8,414708E+3
0,693333	8,412527E+3
0,700000	8,407436E+3
0,706667	8,424890E+3
0,713333	8,418344E+3
0,720000	8,423435E+3
0,726667	8,425617E+3
0,733333	8,434344E+3
0,740000	8,423435E+3
0,746667	8,403800E+3
0,753333	8,415436E+3
0,760000	8,412527E+3
0,766667	8,407436E+3
0,773333	8,411072E+3
0,780000	8,421981E+3
0,786667	8,427798E+3
0,793333	8,421253E+3
0,800000	8,427071E+3
0,806667	8,426344E+3
0,813333	8,420526E+3
0,820000	8,424890E+3
0,826667	8,408890E+3
0,833333	8,398709E+3
0,840000	8,428526E+3
0,846667	8,419799E+3
0,853333	8,422708E+3
0,860000	8,422708E+3
0,866667	8,435798E+3
0,873333	8,425617E+3
0,880000	8,429253E+3
0,886667	8,428526E+3
0,893333	8,415436E+3
0,900000	8,411072E+3
0,906667	8,419799E+3
0,913333	8,416890E+3
0,920000	8,419799E+3
0,926667	8,422708E+3
0,933333	8,426344E+3
0,940000	8,442343E+3
0,946667	8,437252E+3
0,953333	8,429253E+3
0,960000	8,430707E+3
0,966667	8,405982E+3
0,973333	8,414708E+3
0,980000	8,416890E+3
0,986667	8,415436E+3
0,993333	8,421981E+3
1,000000	8,428526E+3
1,006667	8,427071E+3
1,013333	8,432889E+3
1,020000	8,424162E+3
1,026667	8,427071E+3
1,033333	8,432889E+3
1,040000	8,419799E+3
1,046667	8,423435E+3
1,053333	8,425617E+3
1,060000	8,419072E+3
1,066667	8,411799E+3
1,073333	8,424162E+3
1,080000	8,421253E+3
1,086667	8,427071E+3
1,093333	8,435798E+3
1,100000	8,437252E+3
1,106667	8,421253E+3
1,113333	8,406709E+3
1,120000	8,416163E+3
1,126667	8,413981E+3
1,133333	8,418344E+3
1,140000	8,427071E+3
1,146667	8,428526E+3
1,153333	8,435798E+3
1,160000	8,433616E+3
1,166667	8,427798E+3
1,173333	8,426344E+3
1,180000	8,421981E+3
1,186667	8,419799E+3
1,193333	8,408890E+3
1,200000	8,419799E+3
1,206667	8,419072E+3
1,213333	8,424162E+3
1,220000	8,425617E+3
1,226667	8,431435E+3
1,233333	8,428526E+3
1,240000	8,429980E+3
1,246667	8,431435E+3
1,253333	8,416890E+3
1,260000	8,421253E+3
1,266667	8,410345E+3
1,273333	8,419072E+3
1,280000	8,424162E+3
1,286667	8,427798E+3
1,293333	8,425617E+3
1,300000	8,432889E+3
1,306667	8,424890E+3
1,313333	8,432162E+3
1,320000	8,432889E+3
1,326667	8,413254E+3
1,333333	8,409618E+3
1,340000	8,413981E+3
1,346667	8,413254E+3
1,353333	8,397255E+3
1,360000	8,417617E+3
1,366667	8,437980E+3
1,373333	8,421981E+3
1,380000	8,432889E+3
1,386667	8,428526E+3
1,393333	8,421253E+3
1,400000	8,421253E+3
1,406667	8,404527E+3
1,413333	8,399436E+3
1,420000	8,408163E+3
1,426667	8,413981E+3
1,433333	8,417617E+3
1,440000	8,420526E+3
1,446667	8,421253E+3
1,453333	8,436525E+3
1,460000	8,427071E+3
1,466667	8,424162E+3
1,473333	8,421253E+3
1,480000	8,426344E+3
1,486667	8,406709E+3
1,493333	8,415436E+3
1,500000	8,416890E+3
1,506667	8,424890E+3
1,513333	8,428526E+3
1,520000	8,435071E+3
1,526667	8,441616E+3
1,533333	8,427798E+3
1,540000	8,417617E+3
1,546667	8,424890E+3
1,553333	8,404527E+3
1,560000	8,411072E+3
1,566667	8,422708E+3
1,573333	8,424162E+3
1,580000	8,417617E+3
1,586667	8,432162E+3
1,593333	8,441616E+3
1,600000	8,440161E+3
1,606667	8,444525E+3
1,613333	8,435071E+3
1,620000	8,416890E+3
1,626667	8,415436E+3
1,633333	8,405982E+3
1,640000	8,408890E+3
1,646667	8,424890E+3
1,653333	8,406709E+3
1,660000	8,430707E+3
1,666667	8,433616E+3
1,673333	8,425617E+3
1,680000	8,430707E+3
1,686667	8,421981E+3
1,693333	8,418344E+3
1,700000	8,408890E+3
1,706667	8,411072E+3
1,713333	8,426344E+3
1,720000	8,429253E+3
1,726667	8,425617E+3
1,733333	8,435071E+3
1,740000	8,439434E+3
1,746667	8,435071E+3
1,753333	8,421253E+3
1,760000	8,418344E+3
1,766667	8,421981E+3
1,773333	8,410345E+3
1,780000	8,410345E+3
1,786667	8,410345E+3
1,793333	8,423435E+3
1,800000	8,429253E+3
1,806667	8,424890E+3
1,813333	8,425617E+3
1,820000	8,424162E+3
1,826667	8,427798E+3
1,833333	8,422708E+3
1,840000	8,420526E+3
1,846667	8,408890E+3
1,853333	8,420526E+3
1,860000	8,425617E+3
1,866667	8,425617E+3
1,873333	8,421253E+3
1,880000	8,435071E+3
1,886667	8,429980E+3
1,893333	8,431435E+3
1,900000	8,419799E+3
1,906667	8,417617E+3
1,913333	8,413254E+3
1,920000	8,414708E+3
1,926667	8,426344E+3
1,933333	8,420526E+3
1,940000	8,409618E+3
1,946667	8,429980E+3
1,953333	8,429253E+3
1,960000	8,432889E+3
1,966667	8,435798E+3
1,973333	8,435798E+3
1,980000	8,424890E+3
1,986667	8,423435E+3
1,993333	8,409618E+3
2,000000	8,420526E+3
2,006667	8,416890E+3
2,013333	8,428526E+3
2,020000	8,438707E+3
2,026667	8,432162E+3
2,033333	8,425617E+3
2,040000	8,433616E+3
2,046667	8,420526E+3
2,053333	8,425617E+3
2,060000	8,412527E+3
2,066667	8,402345E+3
2,073333	8,406709E+3
2,080000	8,414708E+3
2,086667	8,424890E+3
2,093333	8,435798E+3
2,100000	8,424162E+3
2,106667	8,432889E+3
2,113333	8,431435E+3
2,120000	8,427071E+3
