date/time: ,24/10/2025,13:34
Run 1

time	(LX)
0,000000	7,506397E+3
0,006667	7,506397E+3
0,013333	7,407494E+3
0,020000	7,555849E+3
0,026667	7,531123E+3
0,033333	7,481672E+3
0,040000	7,580575E+3
0,046667	7,506397E+3
0,053333	7,456946E+3
0,060000	7,580575E+3
0,066667	7,407494E+3
0,073333	7,531123E+3
0,080000	7,456946E+3
0,086667	7,531123E+3
0,093333	7,456946E+3
0,100000	7,481672E+3
0,106667	7,481672E+3
0,113333	7,605301E+3
0,120000	7,531123E+3
0,126667	7,432220E+3
0,133333	7,531123E+3
0,140000	7,531123E+3
0,146667	7,432220E+3
0,153333	7,481672E+3
0,160000	7,481672E+3
0,166667	7,506397E+3
0,173333	7,407494E+3
0,180000	7,481672E+3
0,186667	7,555849E+3
0,193333	7,407494E+3
0,200000	7,555849E+3
0,206667	7,506397E+3
0,213333	7,407494E+3
0,220000	7,481672E+3
0,226667	7,555849E+3
0,233333	7,432220E+3
0,240000	7,531123E+3
0,246667	7,481672E+3
0,253333	7,531123E+3
0,260000	7,481672E+3
0,266667	7,531123E+3
0,273333	7,481672E+3
0,280000	7,481672E+3
0,286667	7,481672E+3
0,293333	7,531123E+3
0,300000	7,432220E+3
0,306667	7,531123E+3
0,313333	7,432220E+3
0,320000	7,481672E+3
0,326667	7,481672E+3
0,333333	7,456946E+3
0,340000	7,481672E+3
0,346667	7,531123E+3
0,353333	7,407494E+3
0,360000	7,531123E+3
0,366667	7,432220E+3
0,373333	7,506397E+3
0,380000	7,506397E+3
0,386667	7,456946E+3
0,393333	7,506397E+3
0,400000	7,481672E+3
0,406667	7,531123E+3
0,413333	7,432220E+3
0,420000	7,456946E+3
0,426667	7,580575E+3
0,433333	7,506397E+3
0,440000	7,481672E+3
0,446667	7,531123E+3
0,453333	7,506397E+3
0,460000	7,531123E+3
0,466667	7,531123E+3
0,473333	7,506397E+3
0,480000	7,432220E+3
0,486667	7,456946E+3
0,493333	7,506397E+3
0,500000	7,506397E+3
0,506667	7,531123E+3
0,513333	7,506397E+3
0,520000	7,382768E+3
0,526667	7,506397E+3
0,533333	7,580575E+3
0,540000	7,456946E+3
0,546667	7,432220E+3
0,553333	7,531123E+3
0,560000	7,481672E+3
0,566667	7,407494E+3
0,573333	7,506397E+3
0,580000	7,481672E+3
0,586667	7,555849E+3
0,593333	7,456946E+3
0,600000	7,432220E+3
0,606667	7,456946E+3
0,613333	7,432220E+3
0,620000	7,531123E+3
0,626667	7,555849E+3
0,633333	7,407494E+3
0,640000	7,506397E+3
0,646667	7,506397E+3
0,653333	7,506397E+3
0,660000	7,506397E+3
0,666667	7,481672E+3
0,673333	7,432220E+3
0,680000	7,555849E+3
0,686667	7,531123E+3
0,693333	7,432220E+3
0,700000	7,506397E+3
0,706667	7,456946E+3
0,713333	7,432220E+3
0,720000	7,531123E+3
0,726667	7,432220E+3
0,733333	7,555849E+3
0,740000	7,407494E+3
0,746667	7,580575E+3
0,753333	7,506397E+3
0,760000	7,481672E+3
0,766667	7,555849E+3
0,773333	7,407494E+3
0,780000	7,456946E+3
0,786667	7,580575E+3
0,793333	7,456946E+3
0,800000	7,407494E+3
0,806667	7,432220E+3
0,813333	7,506397E+3
0,820000	7,456946E+3
0,826667	7,605301E+3
0,833333	7,481672E+3
0,840000	7,432220E+3
0,846667	7,456946E+3
0,853333	7,580575E+3
0,860000	7,506397E+3
0,866667	7,481672E+3
0,873333	7,580575E+3
0,880000	7,456946E+3
0,886667	7,481672E+3
0,893333	7,506397E+3
0,900000	7,432220E+3
0,906667	7,407494E+3
0,913333	7,555849E+3
0,920000	7,456946E+3
0,926667	7,481672E+3
0,933333	7,481672E+3
0,940000	7,481672E+3
0,946667	7,555849E+3
0,953333	7,456946E+3
0,960000	7,407494E+3
0,966667	7,580575E+3
0,973333	7,506397E+3
0,980000	7,506397E+3
0,986667	7,506397E+3
0,993333	7,432220E+3
1,000000	7,506397E+3
1,006667	7,407494E+3
1,013333	7,481672E+3
1,020000	7,531123E+3
1,026667	7,407494E+3
1,033333	7,555849E+3
1,040000	7,456946E+3
1,046667	7,481672E+3
1,053333	7,481672E+3
1,060000	7,432220E+3
1,066667	7,506397E+3
1,073333	7,432220E+3
1,080000	7,531123E+3
1,086667	7,481672E+3
1,093333	7,555849E+3
1,100000	7,531123E+3
1,106667	7,407494E+3
1,113333	7,531123E+3
1,120000	7,481672E+3
1,126667	7,506397E+3
1,133333	7,506397E+3
1,140000	7,506397E+3
1,146667	7,531123E+3
1,153333	7,382768E+3
1,160000	7,531123E+3
1,166667	7,531123E+3
1,173333	7,456946E+3
1,180000	7,531123E+3
1,186667	7,456946E+3
1,193333	7,531123E+3
1,200000	7,531123E+3
1,206667	7,407494E+3
1,213333	7,531123E+3
1,220000	7,506397E+3
1,226667	7,407494E+3
1,233333	7,506397E+3
1,240000	7,580575E+3
1,246667	7,407494E+3
1,253333	7,506397E+3
1,260000	7,456946E+3
1,266667	7,456946E+3
1,273333	7,531123E+3
1,280000	7,531123E+3
1,286667	7,481672E+3
1,293333	7,481672E+3
1,300000	7,531123E+3
1,306667	7,506397E+3
1,313333	7,481672E+3
1,320000	7,432220E+3
1,326667	7,531123E+3
1,333333	7,481672E+3
1,340000	7,456946E+3
1,346667	7,531123E+3
1,353333	7,407494E+3
1,360000	7,531123E+3
1,366667	7,555849E+3
1,373333	7,407494E+3
1,380000	7,456946E+3
1,386667	7,555849E+3
1,393333	7,506397E+3
1,400000	7,481672E+3
1,406667	7,481672E+3
1,413333	7,481672E+3
1,420000	7,481672E+3
1,426667	7,531123E+3
1,433333	7,432220E+3
1,440000	7,456946E+3
1,446667	7,481672E+3
1,453333	7,481672E+3
1,460000	7,456946E+3
1,466667	7,531123E+3
1,473333	7,531123E+3
1,480000	7,481672E+3
1,486667	7,531123E+3
1,493333	7,481672E+3
1,500000	7,456946E+3
1,506667	7,531123E+3
1,513333	7,407494E+3
1,520000	7,531123E+3
1,526667	7,531123E+3
1,533333	7,481672E+3
1,540000	7,555849E+3
1,546667	7,580575E+3
1,553333	7,531123E+3
1,560000	7,407494E+3
1,566667	7,481672E+3
1,573333	7,531123E+3
1,580000	7,531123E+3
1,586667	7,432220E+3
1,593333	7,407494E+3
1,600000	7,531123E+3
1,606667	7,531123E+3
1,613333	7,531123E+3
1,620000	7,432220E+3
1,626667	7,407494E+3
1,633333	7,531123E+3
1,640000	7,481672E+3
1,646667	7,531123E+3
1,653333	7,580575E+3
1,660000	7,481672E+3
1,666667	7,432220E+3
1,673333	7,555849E+3
1,680000	7,531123E+3
1,686667	7,432220E+3
1,693333	7,382768E+3
1,700000	7,481672E+3
1,706667	7,555849E+3
1,713333	7,531123E+3
1,720000	7,481672E+3
1,726667	7,481672E+3
1,733333	7,407494E+3
1,740000	7,531123E+3
1,746667	7,605301E+3
1,753333	7,407494E+3
1,760000	7,506397E+3
1,766667	7,456946E+3
1,773333	7,407494E+3
1,780000	7,531123E+3
1,786667	7,506397E+3
1,793333	7,481672E+3
1,800000	7,531123E+3
1,806667	7,506397E+3
1,813333	7,456946E+3
1,820000	7,506397E+3
1,826667	7,531123E+3
1,833333	7,506397E+3
1,840000	7,432220E+3
1,846667	7,531123E+3
1,853333	7,456946E+3
1,860000	7,531123E+3
1,866667	7,506397E+3
1,873333	7,456946E+3
1,880000	7,456946E+3
1,886667	7,506397E+3
1,893333	7,382768E+3
1,900000	7,531123E+3
1,906667	7,456946E+3
1,913333	7,531123E+3
